population,short.description,year,group,total,flag_for_publishing,total.low.CI,total.high.CI,male,male_flag_for_publishing,male.low.CI,male.high.CI,female,female_flag_for_publishing,female.low.CI,female.high.CI,estimated.number,estimated.number.low.CI,estimated.number.high.CI
adults,Hazardous drinkers (past-year drinkers),2020,Non-disabled,25.3,,23.7,27,32.8,,30.4,35.1,17.4,,15.6,19.3,758000,707000,809000
adults,Hazardous drinkers (past-year drinkers),2020,Disabled,26.7,,22.3,31.6,34.9,,27.2,43.3,19.4,,15.1,24.3,66000,53000,79000
adults,Hazardous drinkers (past-year drinkers),2015,15-17,14.7,,8.5,23.2,18.3,,8.3,32.7,11.1,,4.7,21.2,8000,4000,11000
adults,Hazardous drinkers (past-year drinkers),2015,18-24,44.6,,38.4,50.9,53.1,,44.6,61.6,35.7,,26.8,45.4,86000,71000,100000
adults,Hazardous drinkers (past-year drinkers),2016,15-17,13.7,,8.9,19.8,14,,7.4,23.3,13.4,,6.8,22.8,15000,9000,21000
adults,Hazardous drinkers (past-year drinkers),2016,18-24,39.8,,35.1,44.7,47.7,,41.1,54.4,31.2,,25.5,37.3,156000,136000,176000
adults,Hazardous drinkers (past-year drinkers),2017,15-17,13.2,,8.7,18.9,14.9,,7.5,25.4,11.7,,6.5,18.8,15000,10000,20000
adults,Hazardous drinkers (past-year drinkers),2017,18-24,38.3,,34.2,42.4,45.5,,40,51.1,30.4,,24.7,36.5,148000,130000,166000
adults,Hazardous drinkers (past-year drinkers),2018,15-17,11.5,,7.3,17,12.5,,6.7,20.6,10.5,,5.3,18.2,14000,9000,20000
adults,Hazardous drinkers (past-year drinkers),2018,18-24,42.1,,38,46.3,52.4,,46.1,58.7,30.9,,24.4,38,161000,143000,179000
adults,Hazardous drinkers (past-year drinkers),2019,15-17,21.2,,14.4,29.4,25.5,,16,37.2,16.7,,8.7,27.8,23000,14000,31000
adults,Hazardous drinkers (past-year drinkers),2019,18-24,38.3,,33.2,43.6,43.5,,36.2,50.9,33,,26.4,40.1,154000,132000,177000
adults,Hazardous drinkers (past-year drinkers),2020,15-17,17.3,,10.2,26.7,18.6,,7.6,34.9,16.3,,8.2,27.8,20000,11000,30000
adults,Hazardous drinkers (past-year drinkers),2020,18-24,40.5,,34.3,47,46.8,,37.8,56.1,33.6,,27.4,40.3,158000,129000,187000
adults,Heavy episodic drinking at least monthly (total population),2015,Total,21.3,,19.9,22.7,30.5,,28.2,32.8,12.5,,11,14,401000,375000,427000
adults,Heavy episodic drinking at least monthly (total population),2016,Total,21.9,,20.8,23,30.2,,28.6,31.9,13.8,,12.7,15,841000,800000,882000
adults,Heavy episodic drinking at least monthly (total population),2017,Total,21.7,,20.6,22.9,29.4,,28,30.8,14.3,,12.9,15.8,854000,810000,897000
adults,Heavy episodic drinking at least monthly (total population),2018,Total,22,,20.9,23.1,30.2,,28.4,32,14.1,,12.8,15.4,880000,837000,922000
adults,Heavy episodic drinking at least monthly (total population),2019,Total,22.6,,21.3,24,30.6,,28.7,32.7,14.9,,13.5,16.4,924000,872000,977000
adults,Heavy episodic drinking at least monthly (total population),2020,Total,21.4,,20.2,22.7,29.4,,27.5,31.3,13.6,,12.4,14.9,885000,834000,936000
adults,Heavy episodic drinking at least monthly (total population),2015,15-24,28.7,,24.5,33.1,36.3,,29.8,43.2,20.4,,15.3,26.3,94000,79000,109000
adults,Heavy episodic drinking at least monthly (total population),2015,25-34,26.3,,23.1,29.6,34.1,,28.8,39.6,19.1,,15.3,23.4,82000,71000,93000
adults,Heavy episodic drinking at least monthly (total population),2015,35-44,23.5,,20.6,26.7,32.8,,28,37.8,14.2,,11.2,17.8,72000,63000,82000
adults,Heavy episodic drinking at least monthly (total population),2015,45-54,23.9,,20.8,27.2,34.4,,29,40.1,12.6,,9.5,16.2,76000,65000,87000
adults,Heavy episodic drinking at least monthly (total population),2015,55-64,17.8,,15.1,20.8,28.8,,23.5,34.5,8.2,,5.6,11.4,48000,41000,56000
adults,Heavy episodic drinking at least monthly (total population),2015,65-74,11,,8.3,14.2,19.6,,14.5,25.6,3,,1.1,6.5,22000,16000,28000
adults,Heavy episodic drinking at least monthly (total population),2015,75+,4,,2.5,6.2,8.7,,5,13.8,0.9,,0.3,2.2,6000,3000,8000
adults,Heavy episodic drinking at least monthly (total population),2016,15-24,29.1,,25.5,32.8,35.2,,30.1,40.6,22.5,,18.3,27.1,192000,169000,216000
adults,Heavy episodic drinking at least monthly (total population),2016,25-34,28.9,,26.2,31.7,40.1,,35.9,44.3,17.7,,14.7,21.2,193000,175000,211000
adults,Heavy episodic drinking at least monthly (total population),2016,35-44,24.2,,21.8,26.7,32.6,,28.8,36.7,16.2,,13.4,19.3,145000,131000,159000
adults,Heavy episodic drinking at least monthly (total population),2016,45-54,24.4,,22.3,26.5,32.4,,28.8,36.2,16.8,,14.3,19.5,158000,145000,171000
adults,Heavy episodic drinking at least monthly (total population),2016,55-64,17,,14.9,19.2,26.7,,23,30.8,7.7,,5.9,9.8,96000,84000,108000
adults,Heavy episodic drinking at least monthly (total population),2016,65-74,11.7,,9,14.9,19,,14.8,23.7,4.8,,2.6,7.9,48000,36000,59000
adults,Heavy episodic drinking at least monthly (total population),2016,75+,3.2,,2.2,4.5,6,,4,8.6,1,,0.4,2.2,10000,6000,13000
adults,Heavy episodic drinking at least monthly (total population),2017,15-24,27.9,,24.6,31.4,32.3,,28.5,36.3,23.2,,18.8,28.1,184000,162000,206000
adults,Heavy episodic drinking at least monthly (total population),2017,25-34,27.7,,24.9,30.7,36.9,,32.5,41.5,18.5,,15.6,21.7,194000,174000,214000
adults,Heavy episodic drinking at least monthly (total population),2017,35-44,23.9,,21.6,26.3,32.3,,28.8,36,15.8,,13.1,18.8,145000,131000,159000
adults,Heavy episodic drinking at least monthly (total population),2017,45-54,24.6,,22.2,27.2,31.8,,27.8,36.1,17.8,,14.5,21.5,161000,145000,177000
adults,Heavy episodic drinking at least monthly (total population),2017,55-64,17.9,,15.9,20.2,27.8,,24.3,31.5,8.6,,6.8,10.7,104000,92000,116000
adults,Heavy episodic drinking at least monthly (total population),2017,65-74,12.1,,10.3,14.2,18.8,,15.5,22.5,5.8,,4.1,7.9,51000,43000,59000
adults,Heavy episodic drinking at least monthly (total population),2017,75+,4.7,,3.4,6.5,10.2,,7.1,14,0.5,,0.2,1.2,15000,10000,19000
adults,Heavy episodic drinking at least monthly (total population),2018,15-24,28.6,,25.7,31.6,36.6,,31.7,41.7,20,,16.8,23.6,188000,169000,206000
adults,Heavy episodic drinking at least monthly (total population),2018,25-34,27.5,,25,30.1,35.9,,31.9,40,19.1,,16.2,22.3,199000,181000,217000
adults,Heavy episodic drinking at least monthly (total population),2018,35-44,25.2,,22.6,27.8,34,,29.6,38.7,16.5,,13.8,19.5,156000,140000,172000
adults,Heavy episodic drinking at least monthly (total population),2018,45-54,25,,22.8,27.4,33.6,,29.5,37.9,16.9,,14.2,19.8,164000,149000,178000
adults,Heavy episodic drinking at least monthly (total population),2018,55-64,19,,16.6,21.6,27.4,,23.5,31.5,11,,8.5,14,113000,99000,128000
adults,Heavy episodic drinking at least monthly (total population),2018,65-74,11.8,,10,13.8,20.1,,16.7,24,4,,2.6,5.7,52000,44000,60000
adults,Heavy episodic drinking at least monthly (total population),2018,75+,2.7,,1.7,4,4.3,,2.4,7.1,1.4,,0.6,2.9,9000,5000,12000
adults,Heavy episodic drinking at least monthly (total population),2019,15-24,28.1,,24.5,31.9,32.5,,27.1,38.3,23.3,,18.5,28.7,184000,161000,208000
adults,Heavy episodic drinking at least monthly (total population),2019,25-34,26.5,,23.3,29.9,34.3,,29.2,39.8,18.5,,15.4,22,198000,174000,222000
adults,Heavy episodic drinking at least monthly (total population),2019,35-44,23.6,,20.9,26.4,32.3,,27.5,37.4,15,,12.3,18,150000,132000,167000
adults,Heavy episodic drinking at least monthly (total population),2019,45-54,30,,27.2,33,39.2,,34.5,44.1,21.3,,17.8,25,197000,178000,216000
adults,Heavy episodic drinking at least monthly (total population),2019,55-64,20,,17.3,22.8,30,,25.9,34.5,10.5,,7.6,14,122000,106000,138000
adults,Heavy episodic drinking at least monthly (total population),2019,65-74,13.3,,11.1,15.9,22.3,,17.8,27.3,4.9,,3.2,7,60000,50000,71000
adults,Heavy episodic drinking at least monthly (total population),2019,75+,4,,2.8,5.6,7.7,,5.2,10.8,1.1,,0.5,2.2,13000,9000,17000
adults,Heavy episodic drinking at least monthly (total population),2020,15-24,31.5,,27.1,36.3,36.4,,29.5,43.7,26.4,,21.9,31.2,206000,176000,235000
adults,Heavy episodic drinking at least monthly (total population),2020,25-34,26.3,,23.8,29,36.4,,31.8,41.2,16,,13.3,19.1,199000,180000,219000
adults,Heavy episodic drinking at least monthly (total population),2020,35-44,21.7,,19.3,24.2,29.6,,25.7,33.8,13.9,,11.4,16.8,141000,125000,156000
adults,Heavy episodic drinking at least monthly (total population),2020,45-54,24.6,,21.5,27.9,32.3,,27.7,37.3,17.2,,14.2,20.5,161000,141000,182000
adults,Heavy episodic drinking at least monthly (total population),2020,55-64,19.2,,16.4,22.3,29.2,,24.4,34.4,9.8,,7.3,12.9,119000,102000,137000
adults,Heavy episodic drinking at least monthly (total population),2020,65-74,10.5,,8.3,13.1,18.3,,14.1,23.2,3.2,,1.8,5.2,49000,39000,60000
adults,Heavy episodic drinking at least monthly (total population),2020,75+,3,,1.8,4.5,6.2,,3.8,9.6,0.4,,0.1,0.9,10000,6000,14000
adults,Heavy episodic drinking at least monthly (total population),2015,Māori,31.5,,27.8,35.4,36.9,,30.8,43.5,26.2,,22.2,30.5,80000,70000,91000
adults,Heavy episodic drinking at least monthly (total population),2016,Māori,32.4,,30.2,34.5,39,,35.2,43,26,,23.3,28.7,175000,164000,187000
adults,Heavy episodic drinking at least monthly (total population),2017,Māori,30.9,,28.4,33.5,37.2,,33.2,41.4,24.8,,22,27.7,171000,157000,185000
adults,Heavy episodic drinking at least monthly (total population),2018,Māori,32.3,,29.7,34.9,38.6,,34.4,42.9,26.3,,23.1,29.6,183000,168000,197000
adults,Heavy episodic drinking at least monthly (total population),2019,Māori,33.4,,30.1,36.8,38.3,,33,43.7,28.7,,25,32.6,194000,175000,213000
adults,Heavy episodic drinking at least monthly (total population),2020,Māori,32,,29,35.2,41.1,,35.7,46.6,23.3,,20,26.8,190000,172000,208000
adults,Heavy episodic drinking at least monthly (total population),2015,Pacific,21.1,,16.6,26.3,32.7,,24.1,42.4,12.3,,7.1,19.3,23000,18000,29000
adults,Heavy episodic drinking at least monthly (total population),2016,Pacific,23,,19.2,27.1,33.6,,27.5,40.1,13,,9.6,17.2,53000,45000,62000
adults,Heavy episodic drinking at least monthly (total population),2017,Pacific,20.4,,17.2,23.9,26.3,,21.6,31.4,15,,10.6,20.3,50000,42000,58000
adults,Heavy episodic drinking at least monthly (total population),2018,Pacific,20.6,,16.7,24.8,28.6,,22.5,35.3,13.8,,10.1,18.3,53000,43000,63000
adults,Heavy episodic drinking at least monthly (total population),2019,Pacific,25.4,,19.9,31.4,37,,27.9,46.9,15.8,,10.9,21.7,69000,54000,84000
adults,Heavy episodic drinking at least monthly (total population),2020,Pacific,25.8,,20.8,31.4,36.3,,27.1,46.3,17.5,,12.5,23.5,72000,58000,86000
adults,Heavy episodic drinking at least monthly (total population),2015,Asian,7.8,,5.2,11.2,13.4,,8.8,19.3,1.6,,0.5,4.1,18000,11000,24000
adults,Heavy episodic drinking at least monthly (total population),2016,Asian,8.1,,6.3,10.2,11.7,,8.7,15.2,3.9,,2.4,6.1,39000,30000,48000
adults,Heavy episodic drinking at least monthly (total population),2017,Asian,7.8,,5.9,10,12.3,,8.9,16.4,3.3,,1.5,6,40000,30000,50000
adults,Heavy episodic drinking at least monthly (total population),2018,Asian,10.1,,8,12.5,15,,11.7,18.7,4.6,,2.8,7.2,56000,44000,68000
adults,Heavy episodic drinking at least monthly (total population),2019,Asian,7.5,,5.5,9.9,10.9,,7.3,15.3,3.3,,1.5,6.2,45000,32000,57000
adults,Heavy episodic drinking at least monthly (total population),2020,Asian,8.3,,6.2,10.8,12.7,,9.2,17,2.5,,1.2,4.6,53000,39000,67000
adults,Heavy episodic drinking at least monthly (total population),2015,European/Other,22.3,,20.7,24,32.4,,29.8,35.2,12.7,,11.1,14.6,322000,299000,345000
adults,Heavy episodic drinking at least monthly (total population),2016,European/Other,23,,21.7,24.4,32.3,,30.3,34.3,14.3,,12.9,15.7,676000,636000,716000
adults,Heavy episodic drinking at least monthly (total population),2017,European/Other,23.5,,22.1,24.8,32.1,,30.4,33.8,15,,13.4,16.8,701000,661000,742000
adults,Heavy episodic drinking at least monthly (total population),2018,European/Other,23.3,,22,24.6,32.4,,30.2,34.6,14.6,,13.1,16.1,701000,662000,741000
adults,Heavy episodic drinking at least monthly (total population),2019,European/Other,24.3,,22.7,26,33.6,,31.1,36.2,15.6,,13.8,17.5,743000,693000,794000
adults,Heavy episodic drinking at least monthly (total population),2020,European/Other,22.9,,21.3,24.5,32.1,,29.9,34.5,14.3,,12.7,15.9,704000,654000,754000
adults,Heavy episodic drinking at least monthly (total population),2015,Quintile 1,20.2,,17.1,23.6,29.6,,24.2,35.5,10.5,,7.2,14.6,76000,63000,90000
adults,Heavy episodic drinking at least monthly (total population),2015,Quintile 2,18.5,,15.1,22.4,27.5,,21.4,34.2,9.6,,6.5,13.6,71000,57000,86000
adults,Heavy episodic drinking at least monthly (total population),2015,Quintile 3,22.2,,19.4,25.3,31.5,,26.8,36.5,12.2,,9.5,15.3,86000,74000,98000
adults,Heavy episodic drinking at least monthly (total population),2015,Quintile 4,21.6,,18.7,24.7,32.3,,26.7,38.2,13,,10.4,16,81000,69000,94000
adults,Heavy episodic drinking at least monthly (total population),2015,Quintile 5,23.9,,21.1,26.9,31.8,,27.4,36.5,16.9,,13.9,20.3,86000,75000,97000
adults,Heavy episodic drinking at least monthly (total population),2016,Quintile 1,19.5,,17,22.3,27.9,,24.1,32,11.3,,9,13.9,151000,130000,171000
adults,Heavy episodic drinking at least monthly (total population),2016,Quintile 2,19.8,,17.5,22.4,27,,23.3,31,12.5,,10,15.4,155000,136000,173000
adults,Heavy episodic drinking at least monthly (total population),2016,Quintile 3,23.2,,20.8,25.8,32.2,,28.1,36.5,14.6,,12,17.5,182000,161000,203000
adults,Heavy episodic drinking at least monthly (total population),2016,Quintile 4,23.7,,20.9,26.8,33.3,,29.2,37.6,14.4,,12.2,17,186000,163000,209000
adults,Heavy episodic drinking at least monthly (total population),2016,Quintile 5,23,,20.8,25.3,30.9,,27.3,34.7,16.1,,14,18.4,168000,151000,185000
adults,Heavy episodic drinking at least monthly (total population),2017,Quintile 1,19.9,,17.4,22.6,28.1,,24.3,32,12,,9,15.7,158000,138000,178000
adults,Heavy episodic drinking at least monthly (total population),2017,Quintile 2,21.6,,19.1,24.3,30,,26.4,33.8,12.9,,10.1,16,172000,151000,193000
adults,Heavy episodic drinking at least monthly (total population),2017,Quintile 3,22.9,,20.4,25.6,31.3,,27.5,35.3,14.8,,12.4,17.5,181000,160000,202000
adults,Heavy episodic drinking at least monthly (total population),2017,Quintile 4,22.8,,20.5,25.2,30.4,,27.3,33.7,15.4,,12.9,18.2,182000,163000,200000
adults,Heavy episodic drinking at least monthly (total population),2017,Quintile 5,21.5,,19.2,23.9,27.2,,23.8,30.7,16.4,,14,18.9,160000,142000,179000
adults,Heavy episodic drinking at least monthly (total population),2018,Quintile 1,21.9,,19.2,24.8,31.5,,27.3,35.9,12.7,,10.1,15.8,177000,155000,198000
adults,Heavy episodic drinking at least monthly (total population),2018,Quintile 2,20.9,,18.5,23.5,29.4,,25.1,33.9,12.3,,9.8,15.1,169000,148000,189000
adults,Heavy episodic drinking at least monthly (total population),2018,Quintile 3,21.7,,18.9,24.6,29,,25,33.3,14.3,,11.5,17.4,176000,153000,199000
adults,Heavy episodic drinking at least monthly (total population),2018,Quintile 4,21.6,,19.1,24.3,29.6,,25.1,34.5,14,,11.7,16.6,176000,155000,197000
adults,Heavy episodic drinking at least monthly (total population),2018,Quintile 5,24,,21.9,26.1,31.6,,28.4,34.9,17.1,,14.6,19.8,182000,166000,199000
adults,Heavy episodic drinking at least monthly (total population),2019,Quintile 1,23.4,,20.6,26.4,31.8,,27.2,36.6,14.6,,10.3,19.8,193000,168000,218000
adults,Heavy episodic drinking at least monthly (total population),2019,Quintile 2,19.7,,16.6,23.1,28,,23,33.3,11.5,,9,14.3,164000,138000,190000
adults,Heavy episodic drinking at least monthly (total population),2019,Quintile 3,23.7,,20.8,26.9,33.5,,29.6,37.7,14.9,,11.9,18.3,196000,170000,221000
adults,Heavy episodic drinking at least monthly (total population),2019,Quintile 4,22.7,,19.4,26.2,30,,25.8,34.4,15.9,,12.3,20.1,185000,158000,213000
adults,Heavy episodic drinking at least monthly (total population),2019,Quintile 5,23.8,,21.3,26.4,30,,26.4,33.7,17.7,,15,20.5,186000,167000,206000
adults,Heavy episodic drinking at least monthly (total population),2020,Quintile 1,19.5,,16.7,22.5,27,,22.5,31.8,11.7,,9.2,14.6,160000,137000,184000
adults,Heavy episodic drinking at least monthly (total population),2020,Quintile 2,19.5,,16.4,22.8,27.9,,22.9,33.3,11.5,,8.6,14.8,163000,138000,188000
adults,Heavy episodic drinking at least monthly (total population),2020,Quintile 3,20.3,,17.7,23.1,29.6,,24.7,34.9,11.9,,9.4,14.7,171000,148000,194000
adults,Heavy episodic drinking at least monthly (total population),2020,Quintile 4,23.9,,21.3,26.5,31.4,,27.6,35.4,16.2,,13.6,19.1,201000,179000,224000
adults,Heavy episodic drinking at least monthly (total population),2020,Quintile 5,23.9,,20.9,27,31.1,,27,35.5,17.1,,14.4,20.1,190000,165000,214000
adults,Heavy episodic drinking at least monthly (total population),2018,Non-disabled,22.5,,21.3,23.6,31,,29.1,32.8,14,,12.7,15.5,823000,781000,866000
adults,Heavy episodic drinking at least monthly (total population),2018,Disabled,16.9,,14.6,19.3,20.2,,15.8,25.1,14.5,,11.5,18,54000,46000,63000
adults,Heavy episodic drinking at least monthly (total population),2019,Non-disabled,23.1,,21.8,24.5,31.2,,29.1,33.4,15.1,,13.7,16.6,867000,816000,918000
adults,Heavy episodic drinking at least monthly (total population),2019,Disabled,17.1,,14.2,20.3,22.9,,17.9,28.5,12.5,,8.5,17.4,55000,45000,66000
adults,Heavy episodic drinking at least monthly (total population),2020,Non-disabled,21.9,,20.6,23.2,29.8,,27.8,31.8,14,,12.6,15.5,822000,772000,873000
adults,Heavy episodic drinking at least monthly (total population),2020,Disabled,16.2,,13.4,19.4,24,,18.7,30.1,10.3,,7.4,13.9,59000,48000,71000
adults,Heavy episodic drinking at least monthly (total population),2015,15-17,10.1,,6.3,15,9.4,,4.5,16.9,10.8,,5.1,19.4,10000,5000,14000
adults,Heavy episodic drinking at least monthly (total population),2015,18-24,36.3,,30.9,41.9,47.9,,39.3,56.6,24.1,,17.6,31.7,84000,70000,99000
adults,Heavy episodic drinking at least monthly (total population),2016,15-17,12.5,,8.5,17.4,16.3,,9.7,25,8.5,,4.5,14.1,24000,16000,33000
adults,Heavy episodic drinking at least monthly (total population),2016,18-24,36,,31.7,40.5,42.9,,36.8,49.2,28.5,,23.1,34.5,168000,148000,188000
adults,Heavy episodic drinking at least monthly (total population),2017,15-17,8.6,,5.8,12.1,8,,4.3,13.3,9.2,,5.4,14.6,17000,11000,23000
adults,Heavy episodic drinking at least monthly (total population),2017,18-24,36.2,,31.7,40.9,42.8,,37.6,48.1,29.2,,23.3,35.6,167000,144000,189000
adults,Heavy episodic drinking at least monthly (total population),2018,15-17,8.3,,5.5,12,10,,5.9,15.5,6.4,,2.8,12.1,17000,11000,24000
adults,Heavy episodic drinking at least monthly (total population),2018,18-24,38,,34.5,41.6,49.7,,43.3,56,26,,21.5,31,170000,153000,187000
adults,Heavy episodic drinking at least monthly (total population),2019,15-17,14.7,,9.7,21,17.4,,9.4,28.1,11.5,,5.1,21.4,27000,16000,38000
adults,Heavy episodic drinking at least monthly (total population),2019,18-24,33.2,,28.7,38,38.8,,32.2,45.8,27.5,,21.5,34.2,157000,135000,179000
adults,Heavy episodic drinking at least monthly (total population),2020,15-17,9,,5.1,14.4,7.8,,2.9,16.1,10.4,,5.2,18.1,18000,9000,27000
adults,Heavy episodic drinking at least monthly (total population),2020,18-24,41.4,,35.6,47.4,49.2,,40.5,57.9,33.2,,27.4,39.5,188000,158000,217000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2015,Total,26.7,,25.1,28.3,36.4,,33.8,39,16.4,,14.5,18.4,401000,375000,427000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2016,Total,27.5,,26.2,28.8,36.1,,34.3,38,18.3,,16.9,19.8,841000,800000,882000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2017,Total,27.6,,26.2,28.9,35.5,,33.9,37.1,19.1,,17.3,21,854000,810000,897000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2018,Total,27.3,,26.1,28.6,35.6,,33.7,37.6,18.4,,16.9,20,880000,837000,922000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2019,Total,27.8,,26.2,29.4,36.2,,33.9,38.5,19,,17.2,20.8,924000,872000,977000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2020,Total,27.3,,25.8,28.8,35.9,,33.8,38.1,18.1,,16.5,19.9,885000,834000,936000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2015,15-24,37.6,,32.3,43.1,48.5,,41.1,56,26.2,,19.6,33.8,94000,79000,109000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2015,25-34,31.4,,27.9,35.1,39.1,,33.2,45.2,23.8,,19.3,28.7,82000,71000,93000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2015,35-44,29.1,,25.4,32.9,37.6,,32.2,43.2,19,,15,23.6,72000,63000,82000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2015,45-54,28.5,,24.9,32.3,39.1,,33.1,45.5,15.9,,12.2,20.2,76000,65000,87000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2015,55-64,22,,18.8,25.6,34,,27.9,40.4,10.6,,7.4,14.5,48000,41000,56000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2015,65-74,14,,10.7,17.9,23.3,,17.5,30,4.2,,1.5,8.9,22000,16000,28000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2015,75+,5.9,,3.7,9,11.4,,6.7,17.7,1.5,,0.4,3.5,6000,3000,8000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2016,15-24,38.4,,34.1,42.8,46.5,,40.5,52.5,29.6,,24.3,35.3,193000,169000,216000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2016,25-34,35.3,,32.2,38.6,45.7,,41.1,50.4,23.4,,19.7,27.5,193000,175000,211000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2016,35-44,29.4,,26.6,32.4,38.2,,33.9,42.5,20.5,,17,24.4,145000,131000,159000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2016,45-54,29.3,,26.9,31.8,37.4,,33.3,41.7,21.1,,18.1,24.3,158000,145000,171000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2016,55-64,21.1,,18.5,23.8,31.5,,27,36.2,10.1,,7.8,12.7,96000,84000,108000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2016,65-74,15,,11.6,19,22.3,,17.5,27.8,6.7,,3.7,11.1,48000,36000,59000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2016,75+,4.6,,3.2,6.5,7.6,,5.1,10.9,1.7,,0.6,3.5,10000,6000,13000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2017,15-24,36.7,,32.5,41.2,42.7,,37.7,47.8,30.4,,24.9,36.4,184000,162000,206000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2017,25-34,34.7,,31.2,38.4,43.6,,38.5,48.8,24.6,,20.9,28.7,194000,174000,214000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2017,35-44,29,,26.3,31.8,36.7,,32.9,40.7,20.5,,17.1,24.3,145000,131000,159000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2017,45-54,29.7,,26.7,32.8,36.9,,32.2,41.8,22.2,,18.2,26.7,161000,145000,177000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2017,55-64,22.3,,19.7,25,33.2,,29.1,37.4,11.1,,8.8,13.8,104000,92000,116000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2017,65-74,15.6,,13.3,18.2,22.7,,18.8,27.1,7.9,,5.7,10.7,51000,43000,59000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2017,75+,7.2,,5.1,9.7,13.1,,9.1,18.1,0.9,,0.3,2.1,14000,10000,19000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2018,15-24,37.1,,33.5,40.7,47.3,,41.4,53.2,26.1,,22.1,30.4,188000,169000,207000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2018,25-34,33.5,,30.7,36.3,40.9,,36.7,45.2,24.8,,21.2,28.8,199000,181000,217000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2018,35-44,30.3,,27.3,33.3,39.3,,34.5,44.4,20.7,,17.5,24.3,156000,140000,172000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2018,45-54,30.1,,27.5,32.7,39,,34.3,43.8,21,,17.7,24.5,164000,149000,178000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2018,55-64,22.8,,20.1,25.8,31.5,,27.3,35.9,13.9,,10.8,17.5,113000,99000,128000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2018,65-74,15.2,,12.8,17.8,23.2,,19.2,27.7,5.7,,3.8,8.1,52000,44000,60000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2018,75+,3.8,,2.5,5.6,5.5,,3.1,8.9,2.2,,0.9,4.4,9000,5000,12000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2019,15-24,36.2,,32,40.6,42.9,,36.6,49.3,29.5,,23.6,35.8,185000,161000,208000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2019,25-34,31.6,,27.8,35.6,38.3,,32.8,44.2,23.7,,19.8,28,198000,174000,222000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2019,35-44,27.9,,24.8,31,37.1,,31.6,42.8,18.3,,15.1,21.7,150000,132000,167000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2019,45-54,34.9,,31.5,38.4,44.1,,38.7,49.6,25.5,,21.3,30,197000,178000,216000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2019,55-64,24.3,,21.1,27.8,35,,30.2,40,13.4,,9.7,17.8,122000,106000,138000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2019,65-74,17.1,,14.2,20.3,27.5,,22.2,33.3,6.5,,4.3,9.3,60000,50000,71000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2019,75+,5.5,,3.8,7.6,9.5,,6.5,13.2,1.7,,0.7,3.3,13000,9000,17000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2020,15-24,40.4,,35.1,45.8,47.6,,39.2,56,33.1,,27.8,38.7,206000,177000,235000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2020,25-34,33.3,,30.2,36.4,43.5,,38.2,49,21.5,,18,25.3,199000,180000,219000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2020,35-44,26.9,,24,29.9,34.8,,30,39.8,18.2,,15,21.9,141000,125000,156000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2020,45-54,30.1,,26.5,33.9,38.3,,33.2,43.6,21.7,,17.8,26.1,161000,141000,182000
adults,Heavy episodic drinking at least monthly (past-year drinkers),2020,55-64,23.7,,20.4,27.3,34.4,,28.7,40.5,12.6,,9.5,16.4,119000,102000,136000
